doc115-1|null|null|售后就更别提了，一买奔驰深似海啊！
doc16680-5|null|null|2.0的比锋范1.5的动力还差一截，换档顿挫感明显。
doc16680-6|null|null|刚刚试驾了30公里广汽传祺，总体评价是，幸亏他不是买的，只是免费使用。
doc16765-1|null|null|对雪佛兰4s店的各种坑蒙拐骗已经失望
doc16778-1|null|null|日本车还是不行啊！
doc16954-1|null|null|volvo不是别克gl8对手，就象欧洲斗不过美国。
doc16963-3|null|null|但刹车也太高了吧？
doc17009-1|null|null|自行车太次，宝马太好。
doc17105-1|null|null|奔驰不买s400混合动力！
doc17105-2|null|null|奔驰怎么能够推出这种不成熟的产品？
doc17200-1|null|null|合资的奥迪，一年，左侧前车窗降落时吱吱响。
doc17232-1|null|null|mg3太冷门了。
doc17242-2|null|null|这日本车真tnnd贵。
doc17338-1|null|null|丰田你傻b了吗？？
doc17343-1|null|null|就雪佛兰这破车...
doc17350-1|null|null|这别克的微博营销效果不错啊，至少我上当了。
doc17453-1|null|null|就是推广不行，并且没有将运动基因贯彻到底，如果是，也许卖得更好。
doc17510-1|null|null|这些导航甚至远远不及10万块国产小车的导航好用。
doc17510-2|null|null|不好用的导航仪配上别说11寸屏幕，就是配60寸平板也是扯淡啊！
doc17510-3|null|null|5系宝马和奥迪a6的导航基本做的差不多，输入麻烦极了，麻烦到你看着导航仪不想用的程度。
doc17535-1|null|null|破丰田4s。
doc17608-1|null|null|开丰田不安全了。
doc17699-1|null|null|坑爹了，我轻轻的一吻丰田车，你丫直接保险杠掉了。
doc17809-1|null|null|奇瑞真没怎么抄过，看看长城比亚迪抄袭和假冒才是我们的特长，创新那是扯淡！
doc17966-1|null|null|通用的车不靠谱！
doc17997-1|null|null|旁边就是比亚迪工厂，听听振业峦山谷业主无奈的呐喊吧，电池生产污染，让您轻松睡不着觉！
doc18017-1|null|null|呼吁良心车企唤醒黑心4s店维修才是最大的黑幕：一个朋友的#比亚迪f3#后杠被磕了一个小坑，北京某比亚迪4s店竟然喊出1880元的吉利数字，他们为什么不索性喊出8888元呢？
doc18163-1|null|null|马力再大的奥拓，终究也难以成为奥迪！
doc18288-1|null|null|这可以说明日本车为什么省油了，就因为偷工减料后车子轻了，别无它方！
doc18354-1|null|null|至于a4l和q5的低配么有后排空调出风口，我认为那纯属一汽奥迪故意恶心消费者的做法，不就是换一套扶手箱吗，去淘宝买原厂件改了，能用2k吗……
doc18403-2|null|null|所以丰田本田的重心搞错了，在中国只要售后还过得去，产品才是王道！
doc18416-1|null|null|眼镜蛇跑车想当年可以称为无敌的车当年出产的时候他是除左拿来开咩功能都没，没音响，没收音机，没空调，唯一的用处是奔跑无语比的速度后来出了太快撞死人得事情出左5000台就停产了公司就给福特收购了！
doc18430-1|null|null|在北京这种塞车严重的路况下，大众的蓝驱在经济性上无法和丰田混动相比，维修保养成本高，dsg的可靠性也是个问题。
doc18540-2|null|null|给你找个一汽奥迪的闻下才知道什么叫夸张
doc18641-1|null|null|汽车空调不会冷..
doc18641-3|null|null|09年12月底买的奥迪车，用了2年多以来出现各种毛病。
doc18641-4|null|null|多媒体中控台死机坏了没法用(那时在保内给我们更换了).
doc18700-1|null|null|雪佛兰车靠不住啊！
doc18700-2|null|null|难看的车标和有自燃的习惯，我亲眼所见的就有两辆（科鲁兹和景程），这有一辆上演了……
doc18794-1|null|null|现在特不喜欢别克车，特别是宝石蓝的别克君威，不知道为什么。
doc18814-1|null|null|日本车实在太软了，现代的士几乎没事，丰田两个前轮一个飞了，一个彻底变形，全部废掉。
doc18850-1|null|null|日产尼桑的质量真不是吹的，拖车都能被拖散架
doc18850-2|null|null|丰田没路刹不住，本田就怕手指戳，一戳马上一个窝，尼桑铁皮更是薄，开关车门都哆嗦。
doc18876-1|null|null|比亚迪的炒作太低端了，就为炫遥控这个功能，尼玛海归还开比亚迪？
doc18926-1|null|null|声讨安信丰田，强烈保护我们消费者权利！
doc18926-2|null|null|这样的黑店，完全已经失去了客户的信任，根本就是一家不达标的店，明明轮胎有问题还要销售给客户，非常不道理的行为，建议把店关了算了！
doc19095-1|null|null|byd能跟福特野马比吗？
doc19095-2|null|null|换个造型换个涂料就f18的强劲对手了抄外观都会抄！
doc19228-1|null|null|槽点太多，不忍直视。
doc19228-2|null|null|capcom是不是觉得以前的设定夸张过头想走点清新路线……
doc19300-1|null|null|试了试电脑才发现大众4s店还是比不上奥迪的.....
doc19457-1|null|null|现在的宝马无语喔！
doc19457-3|null|null|全世界都知道德国车可靠性差，就中国人相反。
doc19457-4|null|null|有些国产车可靠性更差，也没发现生锈的啊，还是宝马质量把控得问题1系还没国产呢，和国产还是进口没关系。
doc19497-1|null|null|前段时间是思域碰科鲁兹侧翻，都是本田的啊这锅门火了你们盆油底盘敢不敢再轻点？
doc19641-1|null|null|说抵制日货的人是不是太片面了，一汽还有日货呢，现在丰田本田除了纯进口的，其他都是合资的，谈什么抵制啊，那啥也不能够同意啊。。。
doc19685-1|null|null|宝马比丰田贵，而且再一次证明了素质普遍低下的愤青伪爱国人士智商也不高。
doc19730-1|null|null|我现在特烦丰田车和本田车。
doc19730-2|null|null|这两种车在路上普遍都不老实，路线诡异，思维方式异常，透着一股子邪劲！
doc20193-1|null|null|左边比亚迪车差人品更差，右边奥迪仗着没牌嚣张至极！
doc20226-1|null|null|因挡风玻璃价格比较昂贵，车主苦不堪言。
doc20256-1|null|null|还有就是大众奥迪的车太残了！
doc20282-1|null|null|想笑，环保的快来啊真他妈丢人那东风本田是尼玛国产好吗？
doc20346-1|null|null|销量下降的不只是日系车，奥迪、宝马、奔驰等名车以往都要加价提车，现在动辄降价几万、十几万说明销量也低于预期。
doc20386-2|null|null|过度接近的前脸设计，看细节都不容易分辨，跟宝马起亚的设计有很大的区别
doc20468-1|null|null|福特的操控性还是不如克尔维特啊！
doc20473-1|null|null|奥迪a4敞篷咋一看还以为有人无聊用a5改的
doc20501-1|null|null|熊宝，去看下#雪佛兰科帕奇#白色还是黑色好看，途观的口碑实在是不尽如人意。
doc20597-2|null|null|但现在开丰田车上路，却成了极大的安全隐患！
doc20652-1|null|null|日本车还是不行啊!
doc20842-1|null|null|我相信你的车技，搞死卡宴你们~卡宴还是很强悍的，撞不过它，我的小4伤痕累累了，要进4s店了~我们左右夹击一定要撞撞他！
doc20886-1|null|null|日本车省油是牺牲安全!
doc21014-1|null|null|日产太不靠谱了，纸一样的品质，这不是第一次了，防撞钢梁用泡沫塑料，天花板填充包装箱纸，这次又这样，不知道这个负面应该怎么撤除啊！！！
doc21081-2|null|null|非独立悬挂，无底盘防腐涂层，脆弱纤薄的后桥，粗糙的裸露的封胶！
doc21131-1|null|null|比亚迪，不踏踏实实做产品，无脑的搞事件炒作，但你能不能策划好点啊，但由于策划拙劣，痕迹明显，演员雷人，真是让人作呕！
doc21224-2|null|null|这台新款起亚索兰托2.4，据车主反映起步不算十分给力，最为不满的是高速提速十分吃力，110速超车必须将挡方可，过120时速后提速很慢。
doc21229-1|null|null|如果碰上朗逸加价再过几个月才能提车，还有什么选它的必要？
doc21255-1|null|null|应该像比亚迪过着某国产品牌，只注重配置的杂牌
doc21346-1|null|null|5有一颗a6的心跟l的脸，奥迪躺着也中枪跟国内卖的加长车一个道理啊啥a4l的???其实就差防霸气侧漏双护翼了
doc21348-1|null|null|小别克前挡都凹了。
doc21359-1|null|null|看了起亚k3，感觉是宝马7系的前脸，大众cc的整体造型呢？
doc21375-3|null|null|#宝马生锈门#针对1系和新3系座椅架生锈事件，宝马中国宣布将为车主免费更换。
doc21380-1|null|null|我的宝马118i生锈了，你说怎么办？
doc21380-2|null|null|现在这已经不是单车问题了，1系、3系全都生锈了，你们车还想不想卖了能尽快给个答复吗？
doc21420-1|null|null|奥迪的确没说的，话说那天捷达挂了宝马，捷达p事没有，宝马p股红了一大块！
doc21420-2|null|null|车不能看性价比的，奥迪等车是王道，像菲亚特这种车不禁撞，前一段时间上海一辆菲亚特被酒家车撞飞，车里人很惨。
doc21433-1|null|null|巴菲特当时看好比亚迪的电动动力这块，但高估了比亚迪汽车的品牌，汽车业务拖累比亚迪的业绩持续下滑，导致高管对比亚迪前景看空，从而疯狂套现。
doc21450-1|null|null|在中国，别克再输给丰田、本田，受不了了的。
doc21450-2|null|null|美国的车，在美国本土卖不过日本，汽车公司都倒闭了。
doc21468-1|null|null|我今天晚上真心是无比淡定，儿子轻伤，酒鬼的小别克被撞惨了，他的气囊都弹出来啦，他一下车就开始吐，我还以为是吃多了撑着，被气囊打了吐出来，殊不知是喝了酒，真晕....
doc21490-1|null|null|“速腾+宝来+朗逸+捷达+桑塔纳”加起来一个月卖10万辆很显然是有问题的
doc21542-1|null|null|恶心的一汽大众，自己旗下不是有一汽丰田和一汽马自达，有种宣布终止合资啊！
doc21552-1|null|null|敢不敢设计人性化一点！！
doc21643-1|null|null|讨厌起亚
doc21684-1|null|null|离合超高，倒车死火好多次
doc21698-1|null|null|要是大家都能买得起兰博基尼都能买得起玛莎拉蒂谁他妈还去买日产阿。
doc21707-3|null|null|本田年销千万辆，捐款才捐二十万。。
doc21730-1|null|null|去他妈的通用雪佛兰迈锐宝等轿车
doc21733-1|null|null|悲剧的是：朗逸没事，我的本田车撞坏了，所以说，抵制日货是有道理的。
doc21774-1|null|null|现在网易各种窗口广告极其烦人，极其闹心，最可恨的是那个加多宝，明明上面是个叉，点了立马蹦出福特汽车的广告，有你们这么糊弄父母的吗？
doc21874-1|null|null|我不喜欢丰田！！！！
doc21931-1|null|null|别克新君威的质量真是要命啊！
doc21969-2|null|null|沃尔沃觉得6at比较适合城市道路，技术成熟、与发动机更匹配沃尔沃怎么不用双离合了？
doc22015-2|null|null|被告知越野性能不如普拉多。
doc22021-1|null|null|前面的丰田被撞的安全气囊都震出来了，被撞的程度反而我们轻，丰田严重，以后还是努力挣钱买个好车提升自身安全。
doc22056-1|null|null|一汽大众也不是什么好鸟，dsg变速箱的问题不也还没有解决？
doc22082-1|null|null|突然想买部q7和部别克，但是没钱又限牌油费又贵身负重任只能想想穷就是没办法这两天做事经常走神好想头脑一片空白（安静）
doc22133-1|null|null|家有别克定凯越一辆，近日常出现不能启动的情况。
doc22143-1|null|null|这是什么设计啊，为什么不安两把刀子？
doc22147-1|null|null|慕尚到手开了总共不到1小时，先说一点不足：倒车雷达pdc和其他欧陆gt一样，只能在倒档的时候才自动开启，蠕行前进时必须手动开启。
doc22171-1|null|null|亲历一场撞车，千万别买日韩车，车头撞个稀烂，前面的奥迪q7就擦破点痕。
doc22186-1|null|null|大众汽车像它的名字一样不愧是低端车世家！
doc22227-1|null|null|除了左下角的吉博力logo别的我真没有看出来欧洲遍地都能看到吉博力，就像上海能看到遍地大众汽车一样。
doc22241-1|null|null|凯旋这个名字虽已是中高端印象，但产品是c4的底盘扣上拉长车身，本来是中级车，硬放在中高端区隔，岂有不输之理。
doc22311-1|null|null|这台新款新款起亚索兰托2.4，据车主反映起步不算十分给力，最为不满的是高速提速十分吃力，110速超车必须将挡方可，超过120时速后提速很慢。
doc22354-1|null|null|翻来覆去玩奥迪和大众车就那么一款，伸长压扁，削平加宽加厚的，你有意思吗？
doc22467-1|null|null|同样在用拉皮，压扁，葫芦娃的方式制造“全新”产品，苹果在今晚受到前所未有的吐槽，那么大众汽车是不是可以去shi了，人苹果好歹拉皮不加价呢，亲！
doc22543-1|null|null|后排略显不足.
doc22543-2|null|null|低档中噪音比较大.
doc22543-3|null|null|车辆加速换挡顿挫感灰常明显.
doc22543-5|null|null|驾驶体验：热车后开空调起步动力不足.
doc22598-1|null|null|活脱脱一个雅尊，我觉得本田这代要继续走下坡路了。。。
doc22619-1|null|null|由于油门踏板和脚垫、刹车系统出现问题、油管存在漏油风险的原因，丰田多次召回其在全世界各地的车辆。
doc22638-1|null|null|开过大众，开过福特，开过松花江，两万块钱的车，真是难开。
doc22678-3|null|null|现在发现了一个规律，你在路上看到的奔驰一般会比宝马要贵。
doc22786-1|null|null|日产天籁更是刺鼻恶臭，如果夏天中午开车，估计一般人十分钟就要晕倒了。
doc22804-1|null|null|奥迪刹车门；
doc22804-2|null|null|宝马生锈门；
doc22804-3|null|null|沃尔沃气囊门；
doc22804-4|null|null|福特和三菱漏油门。
doc22804-5|null|null|近期豪华品牌接连爆出负面新闻：奔驰电池门、致癌门、发动机异响抛锚；
doc22822-2|null|null|朋友借的纪念版mini，小王说开着不是很爽，在上海一直被加队，小王实在驾驭不了这中看不中用的车。
doc22833-2|null|null|没错，太高档的车汽油标号要求也高，维修也不好找地儿，太不适合去西藏了。
doc22843-1|null|null|我妈居然会想去买福特两厢的...
doc22843-2|null|null|一看老子就会想起奇瑞qq切难看...
doc22878-1|null|null|我x，日产真是坑爹，今天刚刚上市的”启辰“和老骐达几乎一模一样，而且价格最高才8万，让老骐达的车主们情何以堪啊~还好车子卖掉了，再也不买日本车了，干
doc22954-1|null|null|日产车不能卖啊''太骗人了偶滴小骐达也很脆弱~一被亲就得换保险杠~偶在换车前还是小心加小心吧
doc23023-1|null|null|什么五菱汽车，难道不是模仿三菱？
doc23023-2|null|null|什么比亚迪，以为自己有几个英文字母就了不起，还不是模仿别人的造型？
doc23066-1|null|null|我最讨厌的一款日产车，斯巴鲁，意思就是骂我们中国人，“死八路”！
doc23131-3|null|null|在比利时日本车只是小白领们开的。
doc23131-4|null|null|只买过一次好朋友公司的美国福特，日本车从来没买过，车皮太烂！
doc23267-1|null|null|莫非是比亚迪的广告，这么推新车啊，遥控功能展示不明显啊，这营销……
doc23304-1|null|null|反正小毛病真的好多，下一辆车肯定不会考虑奥迪这个
doc23304-2|null|null|我作为奥迪车主两年来的体会，多媒体死机统统换了，显示屏死机，倒车雷达经常误报，现在连发动机燃油泵也坏了。
doc23331-1|null|null|比亚迪这样来做广告就有点过了，藐视法律，低级的炒作方式！
doc23366-1|null|null|别克也不过如此
doc23419-1|null|null|雪佛兰保养不到一周竟然不能发动了！
doc23443-1|null|null|一朋友老板的车才3年，雪佛兰的，买时候20多万，手动挡，现在档位要修第二次了，罕见的病，再修一次说就不能修了，要卖掉了说，运气真背
doc23451-1|null|null|上次和一个美国学生一起上路，他坚持要租一辆绿色的起亚，避震很差，一路上就像坐上了按摩椅上下不停。
doc23462-1|null|null|后面那个红别克（有点远，没看清）mm貌似没睡醒吧，把前面的雪铁龙给追了，结果冲击力让雪铁龙把前面的路虎（没看太清楚好像是）给追了，结果雪铁龙悲催了，前凸后翘了。
doc23477-1|null|null|就像一部车，远看以为是雷克萨斯，近看原来是比亚迪-byd（不要得)
doc23548-1|null|null|开车翻越海拔4200米雪山梁时我的别克gl8发动机开锅！
doc23553-2|null|null|世爵本身的动力研发能力较弱，主打车型c8的4.2lv8发动机购自奥迪，最大功率为406马力，在超跑中成绩平平。
doc23566-1|null|null|看来长城的刹车问题很严重啊，难怪当年于虎在广播里面骂长城的刹车骂了小半年
doc23568-1|null|null|霸气评论各种亮点，这奥迪q7看来是掉价了。。。
doc23592-1|null|null|丰田极力推荐的混合动力车型反而在中国没多少市场。
doc23597-1|null|null|福特地盘是不是会留有硬伤呢？
doc23615-1|null|null|比亚迪遥控汽车营销手段实在太恶心了让他们得瑟着吧！
doc23627-1|null|null|dsg就自己慢慢兜着走吧，问题不根本解决掉只会越来越被动，中国用户也是很聪敏的。
doc23655-1|null|null|我去~~~太血腥了~~~安全气囊呢？
doc23726-2|null|null|奇瑞奇瑞修车排队你得排号儿你前面还指不定多少换发动机的呢早就跟你说卖了吧你不听。。
doc23772-1|null|null|扔了那破奥迪、我法拉利和阿斯顿马丁、随便挑~带我去兜风~！！
doc23793-1|null|null|奥迪的涡轮烧机油，奔驰的涡轮渗油，宝马的涡轮还没有经过广大劳动人民的考验。。。
doc23828-1|null|null|但是君威整个车头都拱起来了。
doc23856-1|null|null|有点山寨啊，前脸像标致308，尾巴像奥迪a4l加油加油！
doc23876-1|null|null|哥准备去买个小车车，丰田太贵又是日本车所以不考虑，其它还有什么日本牌子的车？
doc23890-1|null|null|谷歌无人驾驶汽车的成本异常之高，每辆甚至超过了30万美元，远远贵于一辆法拉利。
doc23891-1|null|null|脑残才买比亚迪
doc23946-2|null|null|一汽、上汽，这两个老字号的国车品牌，这么多年也真够怂的。
doc23967-1|null|null|是国人自己把大众捧成这样的。
doc23967-2|null|null|我就不信了，奥迪哪个级不都是有比之相当或更好的选择
doc23973-1|null|null|老几位，还得帮个忙，家人上班需要用车，我就剩一辆破别克凯越，你们说，那车跑高速行吗？？？
doc24023-1|null|null|特么的让马丁车主情何以堪，可以叫它小马丁吗？
doc24023-2|null|null|让我想起了比亚迪，原来抄袭不只是国人的强项，这美国佬要是搞起模仿来可了不得，还真像这么回事
doc24037-1|null|null|这事应该请干露露完全没有社会责任明显是炒作，还好意思那这种所谓“技术”来炒作，比亚迪的人还有底线吗？
doc24052-1|null|null|担心你们家的车吧2.8排量还是别克烧油比我厉害100倍快去买电瓶车~奥扫坑爹！
doc24094-1|null|null|比亚迪怎么老出这种没水准的事，对用心打造品质这面旗完全是反作用，内部是不是有间隙
doc24100-1|null|null|奔驰已经彻底靠边站了
doc24218-1|null|null|别克和比亚迪两条视频没给品牌产品加分，反而给海归女下了定义：胸大无脑乱开车就算是为了突出新功能也不能如此脑残吧。
doc24229-1|null|null|奔驰1.8t机器涡轮漏油是必然的，是常态的，国外已经大量原厂召回更换了，国内终于也开始了，此次涉及的车辆型号有：m271evo发动机均为1.8t四缸涡轮增压缸内直喷（cgi）发动机。
doc24290-1|null|null|还有个内幕，雷克萨斯在日本跟丰田一个价，在中国成了高档车。
doc24290-2|null|null|日本丰田总部展厅，傻逼小日本很阴险，很多车型留着自己用，一些车型在日本卖不动就卖给中国，还做减配和廉价零件等手脚降低售价，汉兰达在日本不生产，因为性能不行！
doc24338-1|null|null|奥迪把车从他那里召回吧，太丢人了，影响品牌形象…
doc24402-1|null|null|昨天的事故照片，因为前面一辆奥迪追尾货车，停在道路中间车道，那个车道的飞度看到有车，突然变道到旁边逍客和皇冠所在的车道，逍客急刹，皇冠急刹，来不及了，3车追尾，皇冠在最后，全责，但是主要原因是奥迪没打双跳，没放警告标志，停高速中间，飞度随意变道，还有就是日本车真tm不经撞
doc24485-1|null|null|还好昨天下午卖掉潍柴动力，今天买入了四环生物，本来是要买比亚迪的，只是下手太慢，就没继续下手了....
doc24515-1|null|null|最后再说途观，算了还是不说了……
doc24569-1|null|null|奇瑞冒充雪佛兰，好歹你也上进一点啊…
doc24645-1|null|null|日系豪华车在中国一直踩不到点上。
doc24645-2|null|null|等日系豪华车发动机（3.0以下）调整好了准备二次发力的时候，德系豪华车都开始玩命降价了，现在来看很多日系豪华车车型的销售价格，基本上给人感觉是卖给傻子的，主动降吧。
doc24657-2|null|null|苦了那个想尝试的起亚。
doc24691-1|null|null|朋友想支持国内品牌、买了上汽的荣威350、车内味极重、儿童上去即会睡着、店说好好去味、半年会好、各种方法除味、仍不好、只有卖掉。
doc24706-1|null|null|我说我不喜欢本田。
doc24753-1|null|null|这个福特也有其实v60倒是一般，毕竟我不是很需要旅行版。
doc24762-1|null|null|#cr-v-开创美好生活#新cr-v的座椅变得更舒适，不像老款感觉坐在被皮革包裹的纸箱上。
doc24765-3|null|null|街拍进口雪佛兰，这块头够惊人的！
doc24817-1|null|null|网曝迈腾新车轮胎遭翻新_迈腾，一直钟爱德系车，但是出现这样的情况真的降低对大众的信赖，而且迈腾真的很喜欢啊，出现这样的情况真的跟日产车一样的档次了
doc24818-1|null|null|亲身经历相对其它车：大众，丰田，日产算是好的了，反正新车味都大，要不断通风，新车开始一段时间我都不敢让儿子上车。
doc24825-1|null|null|福特就是这样，买了首席集团的所有品牌，完后再偷偷摸摸的效仿，先是路虎，现在是阿斯顿马丁！
doc24862-1|null|null|#2012款f0#车身尾部的比亚迪logo采用了发光技术，夜晚将会点亮，发出红色的夜光，相当亮眼
doc24899-1|null|null|马路上乱开的排名第一的当仁不让就是马六，我几乎没看到过一部马六是规规矩矩开车的，排名第二的是各类高档跑车
doc24899-2|null|null|从我这几年在马路上看到的情况分析，改装（包括贴纸）最多的5座轿车（运营车辆不算）应该是雨燕，几乎没有一部雨燕是干干净净呈现原厂状态的，排名第二位的是三菱的翼神，都把自己当evo。
doc24924-1|null|null|停车在别人车库门口，这类缺德的事情怎么总少不了你们丰田，特别是凯美瑞，不是我针对你们，是你们自己不要脸我在:
doc25009-1|null|null|反正神马砸日系车，破坏自己族人靠血汗钱换来的东西这种行为太愚蠢，不买纯日本进口的日货才是真其实我转的时候不是因为日本，而是比亚迪抄袭雷克萨斯外观真蛋疼。。。
doc25015-1|null|null|开奥迪宝马奔驰还行，要开个夏利，怎么看也不像大人物
doc25020-1|null|null|哥么们还有什么车可以可以选择的过半个月准备去订尚酷给我纠结下我怕到时候买了看到一个没注意看的冷门车价格大概就尚酷2.0tsi顶配或2.0d-link奥迪tt有想过由于老爸不赞成说外形太女人了不够man否决了！
doc25031-1|null|null|看到天籁那恶心的屁股就想踹进去我在#麦当劳(乐清虹桥时代店)#
doc25059-1|null|null|比亚迪么现在营销炒作的手段越来越大尺度了各种风骚各种露点啊
doc25119-2|null|null|但是重大缺陷就是低速状态下前后顿挫感严重，高速还比较平顺，开到90迈车子也感觉有点飘。
doc25164-1|null|null|雷克萨斯es“断轴隐患”-帕萨特-帕盟对丰田车渐渐失去信心啦！
doc25174-1|null|null|比亚迪真心不是做汽车的料。
doc25174-2|null|null|路上，一辆比亚迪正面撞上小面包的侧面，比亚迪的前保险杠掉了，前脸整个大豁口，而小面包只是车门有点瘪而已我在:
doc25188-1|null|null|目前，每年途观车型在美国的销量只有不到30000辆，很有可能是因为腿部空间和载货空间狭小，相比同级别的本田cr-v和丰田rav4车型并不占优势。
doc25193-1|null|null|奥迪也tm一个样
doc25193-2|null|null|新迈腾''新帕萨特''新郎逸''新宝来这四个车前脸完全一个样阿。
doc25193-3|null|null|但这不是最悲剧的''最悲剧的是途安和夏朗''完全就是一个车嘛''答中的设计师都死光了吗？
doc25273-1|null|null|绝对是比亚迪的炒作且一点不入流！
doc25273-2|null|null|这个所以的高科技，绝对是不计后果的炒作和社会安全隐患，比亚迪应该意识到，趁还没有出大事，严重请求其取消这个可怕的功能。
doc25285-1|null|null|从九月一号高明实施新废气检测以来，无论过万块的雅马哈还是其他任何车都无法过线上牌入户，唯独是五羊-本田全线产品达到免检免过线标准，顿时觉得优越感无限，一定要在这个上面做文章。
doc25334-1|null|null|虽然这款车丰田出的叫harrier（鹞）但是它并不是高性能也不会飞。
doc25362-1|null|null|奥迪霸道，消费者终于怒了！
doc25384-1|null|null|东风本田的业务实在太古寒了、买车才送我们两份小礼品！
doc25399-3|null|null|一汽大众的中期改款车型新宝来下线，前脸不出所料地制服化了。
doc25415-1|null|null|别克新君威2.4的车子开了才两年，行驶了2万1千多公里，今早水温表居然晃动，显示不正常了，之前开十万不到的车子开了十年都没这种问题，别克太垃圾了！
doc25424-1|null|null|东风悦达起亚把我们听众当傻子吗！！！
doc25575-1|null|null|关于哥老关的奥迪a6居然不允许播放sd卡中的视频文件的问题，原来a6也是山寨货，早知道就买国产的，还可以看视频，你说对不对？
doc25718-2|null|null|额，本来还对雷克萨斯、马自达饶有兴趣对，想想狗日的软铁皮，还怕被抵制日货的“爱国人士”砸掉，还是算了吧。
doc25729-1|null|null|新款的，外形完全不配这头衔！
doc25729-3|null|null|新款的不管是a6还是a8我个人都觉得没有老款好看，显得小气。
doc25754-1|null|null|奥迪a8l的底盘那么底，没有想到被我蹭了一下，还是得买越野！
doc25759-1|null|null|感谢中升丰田维修团队，你们的低效给我充裕时间暴机华容道
doc25785-1|null|null|新奥迪a4l的广告在说精准操控，你个加长版而且主打又不是quattro，到底是想怎么卖啊？？？
doc25812-1|null|null|作为通用第一款量产电动车，雪佛兰沃蓝达自2010年上市以来，一直表现低迷。
doc25868-1|null|null|比亚迪的营销身材很火辣，思想很邋遢！
doc25913-1|null|null|那俩车把我刺激够呛。。。
doc25934-1|null|null|大众汽车只是费迪南德?保时捷按照希特勒纳粹政府的要求，“奉命兴建”的一个廉价汽车品牌！！！！！！！！！！！
doc25953-1|null|null|中南汽车世界吉利天吉4s店打出的标语让对面的东风本田颇有压力
doc25978-1|null|null|现在是求质量、上档次的时代，而比亚迪想以量取胜，在制造大量垃圾，不彻底改革，不提高质量，死路一条。
